PAGE,ALG_GUB,FREQ_YN,FREQ_PARA,TRAIN_EPOCH,TRAINING_DAY_CNT,MAPE,SMAPE,MDAPE,ADJ_MAPE,REV_MAPE,MASE,CORRELATION,MAPE_ARIMA,SMAPE_ARIMA,MDAPE_ARIMA,ADJ_MAPE_ARIMA,REV_MAPE_ARIMA,MASE_ARIMA,CORRELATION_ARIMA,TRAINING_START,TRAINING_END,PELT,RUN_TIME,LOSS_PLOT_FILE
Lionel_Messi_en.wikipedia.org_all-access_all-agents,SCINet,1,"{'m': 7, 'with_intercept': False}",100,541,55.75945187743934,20.98331564455625,42.071891073437165,55.75945187743934,39.80008410755032,4.7015811113463934,-0.26150344337838993,13.739609743803163,7.164640045667584,13.692844232762791,13.739609743803163,15.425939462854668,1.300922117185552,,2016-07-09,2017-07-08,False,335,TrainLossPlot/SCINet/SCINet_Loss_Lionel_Messi_en.wikipedia.org_all-access_all-agents(20160709_20170708).png
Stephen_Hawking_en.wikipedia.org_all-access_all-agents,SCINet,0,,30,541,81.75825922392337,28.118191833485017,78.36370800757193,81.75825922392337,54.4420918850773,1.725898080899723,-0.30039809718586236,61.91572989804115,23.90103750317749,63.38745756708095,61.91572989804115,46.94074578704771,1.3900634199692905,-0.03294310983398966,2016-07-09,2017-07-08,False,135,TrainLossPlot/SCINet/SCINet_Loss_Stephen_Hawking_en.wikipedia.org_all-access_all-agents(20160709_20170708).png
特別:最近の更新_ja.wikipedia.org_all-access_all-agents,SCINet,1,"{'m': 7, 'with_intercept': False}",100,541,48.827902418594284,18.29058728034995,43.592404092916816,48.827902418594284,29.724331395353694,3.957694893832207,-0.05680700899167964,30.34230510461334,12.668602908218501,28.691975532793478,30.34230510461334,21.92421688487391,2.411393674083754,0.17549205348637312,2016-07-09,2017-07-08,False,626,TrainLossPlot/SCINet/SCINet_Loss_特別_最近の更新_ja.wikipedia.org_all-access_all-agents(20160709_20170708).png
特別:最近の更新_ja.wikipedia.org_desktop_all-agents,SCINet,1,"{'m': 7, 'with_intercept': False}",100,541,48.978330517750436,18.31342908507273,43.65119023240725,48.978330517750436,29.73928063522043,3.955216999797078,-0.06744567014344198,30.485529301884796,12.720201593063956,28.794586290095303,30.485529301884796,22.003133550085263,2.4173457257495943,0.17590582020947299,2016-07-09,2017-07-08,False,608,TrainLossPlot/SCINet/SCINet_Loss_特別_最近の更新_ja.wikipedia.org_desktop_all-agents(20160709_20170708).png
Special:WhatLinksHere_en.wikipedia.org_all-access_all-agents,SCINet,0,,100,161,inf,77.7467789854733,100.0,487.3253851704317,inf,4.162518950357693,-0.04080407917542454,inf,61.016608354515,481.4152341451523,470.3744809926884,74.57018684241739,3.6180372463649713,-0.19647387026683666,2017-01-29,2017-07-08,True,32,TrainLossPlot/SCINet/SCINet_Loss_Special_WhatLinksHere_en.wikipedia.org_all-access_all-agents(20170129_20170708).png
Special:WhatLinksHere_en.wikipedia.org_desktop_all-agents,SCINet,0,,100,161,507.7436700798613,77.7521178727965,100.0,507.7436700798613,inf,4.297245664761701,-0.035550041573186905,498.04510880524555,61.58298844638559,499.9690457667114,498.04510880524555,75.08089571866337,3.7840301770102536,-0.19704787122290826,2017-01-29,2017-07-08,True,31,TrainLossPlot/SCINet/SCINet_Loss_Special_WhatLinksHere_en.wikipedia.org_desktop_all-agents(20170129_20170708).png
Служебная:Ссылки_сюда_ru.wikipedia.org_all-access_all-agents,SCINet,0,,30,541,3878.030131481067,69.19499874043599,202.96701898866206,3878.030131481067,inf,1.952763496354024,0.2816737692100324,3971.7568077884735,65.91247310352047,306.8805692580429,3971.7568077884735,111.36869460719629,1.9809814090752111,0.17580703032525968,2016-07-09,2017-07-08,False,137,TrainLossPlot/SCINet/SCINet_Loss_Служебная_Ссылки_сюда_ru.wikipedia.org_all-access_all-agents(20160709_20170708).png
Служебная:Ссылки_сюда_ru.wikipedia.org_desktop_all-agents,SCINet,0,,30,541,4112.696604400651,69.25870756144961,202.5529076178096,4112.696604400651,inf,1.9567418386001043,0.2802824555828455,4187.507081777956,65.97029252096904,306.94096793273246,4187.507081777956,111.46146234671414,1.980754114911837,0.1758503290797695,2016-07-09,2017-07-08,False,131,TrainLossPlot/SCINet/SCINet_Loss_Служебная_Ссылки_сюда_ru.wikipedia.org_desktop_all-agents(20160709_20170708).png
Captain_America:_Civil_War_en.wikipedia.org_all-access_all-agents,SCINet,1,"{'m': 7, 'with_intercept': False}",100,166,inf,19.681876197556807,32.03339776578151,46.135043253410565,35.374297513209356,2.5047217464525566,0.07974417551974075,inf,18.812266715606114,33.351626947103995,42.9827832517826,33.35553649597996,2.3377338500717495,0.46191719783935486,2017-01-24,2017-07-08,True,111,TrainLossPlot/SCINet/SCINet_Loss_Captain_America__Civil_War_en.wikipedia.org_all-access_all-agents(20170124_20170708).png
Spécial:Connexion_fr.wikipedia.org_all-access_all-agents,SCINet,0,,100,136,54.69333462357191,21.697371487999543,37.9935541141739,54.69333462357191,55.120014838973844,2.601001881928423,-0.12628728669584716,39.88340467383645,16.77614781730058,43.55433713781081,39.88340467383645,29.99700666987773,1.8657232210321921,0.059656707572508016,2017-02-23,2017-07-08,True,13,TrainLossPlot/SCINet/SCINet_Loss_Spécial_Connexion_fr.wikipedia.org_all-access_all-agents(20170223_20170708).png
Special:LinkSearch_en.wikipedia.org_all-access_all-agents,SCINet,0,,32,541,407.0703855254141,36.96873700064889,89.74910480597556,407.0703855254141,inf,1.3794529751315405,0.04102982488775209,286.1156400686301,32.401580777082344,53.12731882353576,286.1156400686301,45.102926321723224,0.9773025105893749,0.1877861493505018,2016-07-09,2017-07-08,False,142,TrainLossPlot/SCINet/SCINet_Loss_Special_LinkSearch_en.wikipedia.org_all-access_all-agents(20160709_20170708).png
Special:LinkSearch_en.wikipedia.org_desktop_all-agents,SCINet,0,,32,541,409.16764342077505,36.99623857568244,89.71338718187396,409.16764342077505,inf,1.3803907896953622,0.040758929076949335,287.41292637496855,32.41820409709558,53.13195962462962,287.41292637496855,45.117826842546854,0.9771757449787394,0.18784368936927914,2016-07-09,2017-07-08,False,140,TrainLossPlot/SCINet/SCINet_Loss_Special_LinkSearch_en.wikipedia.org_desktop_all-agents(20160709_20170708).png
Special:Search_es.wikipedia.org_desktop_all-agents,SCINet,0,,100,351,178.06152324714103,44.923494096383486,148.5201573712785,178.06152324714103,inf,4.512074086589068,-0.20631923887729428,99.12368762670711,32.173518916874755,101.14302286976664,99.12368762670711,50.83363991624498,2.5657234719315225,0.06409005056202342,2016-10-12,2017-07-08,True,170,TrainLossPlot/SCINet/SCINet_Loss_Special_Search_es.wikipedia.org_desktop_all-agents(20161012_20170708).png
Johnny_Depp_en.wikipedia.org_all-access_all-agents,SCINet,1,"{'m': 7, 'with_intercept': False}",31,291,inf,68.51725153097297,99.05716724356543,72.57318757302642,inf,5.725664293055683,0.007636474417791916,inf,12.90318394177744,27.731911377140385,26.538678564134287,21.73876637206377,2.1241287315919926,-0.16098348329657253,2016-11-11,2017-07-08,True,159,TrainLossPlot/SCINet/SCINet_Loss_Johnny_Depp_en.wikipedia.org_all-access_all-agents(20161111_20170708).png
Special:CreateAccount_commons.wikimedia.org_mobile-web_all-agents,SCINet,0,,100,541,131.4670748093283,60.46966576691416,95.6894714414633,131.4670748093283,inf,1.1751878677316547,0.007994007819229874,137.44725599073075,33.43693035675843,56.91727746714999,137.44725599073075,71.61306002137746,0.7837326190014134,0.03870983738735414,2016-07-09,2017-07-08,False,278,TrainLossPlot/SCINet/SCINet_Loss_Special_CreateAccount_commons.wikimedia.org_mobile-web_all-agents(20160709_20170708).png
Ariana_Grande_en.wikipedia.org_all-access_all-agents,SCINet,0,,100,166,541.3537490317401,79.31531637933733,103.67215170065948,541.3537490317401,inf,93.14667820423143,-0.047430424087294074,258.30537032373746,55.9906355581708,270.972658840666,258.30537032373746,71.68661080721293,44.42803457714719,-0.2300021795387518,2017-01-24,2017-07-08,True,31,TrainLossPlot/SCINet/SCINet_Loss_Ariana_Grande_en.wikipedia.org_all-access_all-agents(20170124_20170708).png
List_of_Steven_Universe_episodes_en.wikipedia.org_all-access_all-agents,SCINet,0,,30,381,inf,33.9872608698435,127.5302128216991,122.62993375989149,48.295250287747024,17.21733904707542,-0.6220045707892068,inf,27.613081326569677,73.41365287977064,75.0308908722414,42.102899711029295,10.806601514107172,-0.20402109055053108,2016-09-27,2017-07-08,True,95,TrainLossPlot/SCINet/SCINet_Loss_List_of_Steven_Universe_episodes_en.wikipedia.org_all-access_all-agents(20160927_20170708).png
Special:Search_fr.wikipedia.org_all-access_all-agents,SCINet,0,,100,401,46.820549854227664,17.909112431268355,35.750188767036185,46.820549854227664,30.65439941514576,2.027457361570909,0.17415183865399844,36.229094503587895,15.458125432060474,42.15099190564864,36.229094503587895,28.20213828718948,1.5936492259074195,0.1367858438497557,2016-09-17,2017-07-08,True,202,TrainLossPlot/SCINet/SCINet_Loss_Special_Search_fr.wikipedia.org_all-access_all-agents(20160917_20170708).png
Melania_Trump_en.wikipedia.org_all-access_all-agents,SCINet,0,,30,541,inf,65.6496613428035,423.75705601070877,470.00374960703095,inf,24.184066771569487,0.25192679428209463,inf,45.59093580783312,198.2029584337015,178.91548369780043,61.06712666709122,8.460704296815065,0.39685807142005597,2016-07-09,2017-07-08,False,124,TrainLossPlot/SCINet/SCINet_Loss_Melania_Trump_en.wikipedia.org_all-access_all-agents(20160709_20170708).png
